In_preprint	Study	Sample	Experiment	Run	Run_count	Platform	Country	Region	Collection_date	First_created	Date_tree	Date_tree_order	Viridian_result	Genbank_accession	Genbank_other_runs	In_Viridian_tree	In_intersection	Artic_primer_version	Viridian_amplicon_scheme	Viridian_N	Genbank_N	Viridian_pangolin	Viridian_scorpio	Genbank_pangolin	Genbank_scorpio	Genbank_tree_name	Viridian_cons_len	Viridian_cons_het	Viridian_pangolin_1.29	Viridian_scorpio_1.29
T	PRJEB47121	SAMEA9781438	ERX6172646	ERR6546461	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781439	ERX6172647	ERR6546462	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	324	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29799	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781440	ERX6172648	ERR6546463	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1001	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29791	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781441	ERX6172649	ERR6546464	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	957	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29791	2	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781442	ERX6172650	ERR6546465	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	416	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	0	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781443	ERX6172651	ERR6546466	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	840	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29796	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781444	ERX6172652	ERR6546467	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1159	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29799	1	AY.122	Delta (B.1.617.2-like)
T	PRJNA704499	SAMN18043263	SRX10160723	SRR13775065	1	ILLUMINA	China	Hong Kong	2021-01-20	2021-03-05	2021-01-20	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	369	.	B.1.36	.	.	.	.	29806	1	B.1.36	.
T	PRJNA704499	SAMN18043262	SRX10160722	SRR13775066	1	ILLUMINA	China	Hong Kong	2021-01-19	2021-03-05	2021-01-19	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	527	.	B.1.36	.	.	.	.	29796	0	B.1.36	.
T	PRJNA704499	SAMN18043261	SRX10160721	SRR13775067	1	ILLUMINA	China	Hong Kong	2021-01-18	2021-03-05	2021-01-18	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	369	.	B.1.36	.	.	.	.	29805	0	B.1.36	.
T	PRJNA764553	SAMN21508526	SRX12257091	SRR15967573	1	ILLUMINA	Pakistan	Karachi	2021-06-27	2021-09-21	2021-06-27	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1039	.	B.1.351	Beta (B.1.351-like)	.	.	.	29818	0	B.1.351	Beta (B.1.351-like)
T	PRJNA764553	SAMN21508525	SRX12257090	SRR15967574	1	ILLUMINA	Pakistan	Karachi	2021-06-26	2021-09-21	2021-06-26	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	2064	.	AY.108	Delta (B.1.617.2-like)	.	.	.	29823	0	AY.108	Delta (B.1.617.2-like)
T	PRJNA764553	SAMN21508532	SRX12257089	SRR15967575	1	ILLUMINA	Pakistan	Karachi	2021-07-03	2021-09-21	2021-07-03	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	2217	.	AY.108	Delta (B.1.617.2-like)	.	.	.	29823	1	AY.108	Delta (B.1.617.2-like)
T	PRJNA764553	SAMN21508531	SRX12257088	SRR15967576	1	ILLUMINA	Pakistan	Karachi	2021-07-02	2021-09-21	2021-07-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1186	.	AY.55	Delta (B.1.617.2-like)	.	.	.	29533	1	B.1.617.2	Delta (B.1.617.2-like)
